Follower,Location,Languages
xdanger,Singapore,"Java, Zig, Go, Vim Script, Swift, Ruby, TypeScript, PigLatin, C, JavaScript, LookML, Nix, Rust, R, Cuda, HTML, Dockerfile, Bicep, C++, CSS, CMake, HCL, Scala, Metal, Procfile, PLpgSQL, Jupyter Notebook, Shell, Jinja, MDX, PowerShell, Python, Objective-C, Jsonnet, Pug, NSIS, Batchfile, Makefile, C#"
bwl,"Union City, NJ","CoffeeScript, Java, Emacs Lisp, PHP, Perl, HTML, Dockerfile, Vim Snippet, Puppet, Ruby, TypeScript, Batchfile, Shell, C#, Makefile, CSS, JavaScript, Python"
klarrimore,,"Java, HTML, Perl, Ruby, TypeScript, Shell, Makefile, C++, CSS, JavaScript, ApacheConf, C"
slouffka,,"Java, Vim Script, Perl, Haskell, TypeScript, C, JavaScript, Rust, PHP, HTML, M4, Haxe, Assembly, C++, CSS, CMake, Roff, Shell, Python, Lua, Yacc, Groovy, GLSL, Batchfile, Makefile, HLSL"
tiendung,,"Java, Emacs Lisp, Perl, Vim Script, Swift, Ruby, Sass, Scheme, C, JavaScript, Nix, R, Module Management System, Cuda, PHP, HTML, M4, Dockerfile, Assembly, DIGITAL Command Language, C++, CSS, CLIPS, CMake, Ada, Groff, Jupyter Notebook, LLVM, Shell, Objective-C++, SAS, Python, Objective-C, Lua, Yacc, NSIS, Batchfile, Makefile, C#, Pascal"
iamdaiyuan,Beijing,"Java, Go, Swift, Ruby, C, JavaScript, Rust, FreeMarker, PHP, HTML, CSS, Roff, Shell, Objective-C++, Python, Objective-C, GLSL, Kotlin, Makefile"
renxing,Nantong,"Java, Go, SCSS, Vue, Swift, Starlark, Ruby, TypeScript, C, JavaScript, Rust, FreeMarker, ShaderLab, CoffeeScript, Dart, PHP, HTML, Dockerfile, C++, CSS, AIDL, CMake, Handlebars, EJS, Less, QMake, Shell, Objective-C++, Python, Smarty, Objective-C, Blade, GLSL, Groovy, Pug, Kotlin, Makefile, C#, HLSL"
justingrammens,"Saint Paul, MN","Java, Go, Perl, Swift, Ruby, Arduino, C, JavaScript, Mathematica, HTML, Logos, C++, CSS, Jupyter Notebook, Shell, Python, Objective-C, Groovy, Kotlin, Batchfile, Makefile"
hamiljs,"Bardstown, KY","Gherkin, Java, Go, HTML, Perl, PHP, Ruby, Jupyter Notebook, NSIS, Shell, Assembly, Makefile, C++, CSS, JavaScript, Python, C"
rajraj,"Southampton, UK","Go, Vim Script, Swift, Ruby, C, JavaScript, R, Dart, PHP, HTML, Dockerfile, Tcl, Assembly, CSS, Erlang, Jupyter Notebook, Shell, PowerShell, Python, Objective-C, Elixir, Kotlin, Batchfile, Makefile"
fantonio,São Paulo,"Objective-J, Java, Go, Vim Script, Ruby, C, JavaScript, PHP, HTML, M4, Dockerfile, Assembly, C++, CSS, Roff, HCL, Hack, VHDL, QMake, Shell, Objective-C++, PowerShell, Python, Objective-C, Groovy, Kotlin, C#, Makefile"
technohippy,"Tokyo, Japan","Go, Perl, SCSS, PostScript, Ruby, TypeScript, WebAssembly, C, JavaScript, OCaml, Common Lisp, R, Prolog, Dart, HTML, Dockerfile, Assembly, C++, CSS, Groff, TeX, Standard ML, Shell, MDX, PowerShell, Python, Objective-C, Visual Basic, Smalltalk, Nunjucks, GLSL, Batchfile, Makefile"
shaobin0604,Chengdu,"Java, HTML, IDL, Groovy, Kotlin, Shell, Makefile"
netzflechter,Munich,"Gherkin, HTML, Vim Script, Ruby, Shell, Makefile, CSS, JavaScript"
davidrupp,"Gainesville, FL","Clojure, Java, Go, Swift, Ruby, TypeScript, C, JavaScript, Rust, PLSQL, PHP, HTML, Dockerfile, C++, CSS, Scala, PLpgSQL, Jupyter Notebook, Shell, XSLT, Smarty, Python, Kotlin, Batchfile, Makefile, C#"
huerlisi,"Steinhausen, Switzerland","Dart, CoffeeScript, Gherkin, HTML, Perl, Awk, Ruby, TypeScript, Shell, ApacheConf, CSS, JavaScript, Python"
mwmitchell,Staunton VA USA,"Clojure, Java, Emacs Lisp, Go, Perl, Dockerfile, Ruby, Shell, Makefile, JavaScript"
michelson,"Santiago, Chile","Pure Data, CoffeeScript, Racket, HTML, SCSS, MDX, Ruby, Elixir, TypeScript, Shell, Makefile, C++, CSS, JavaScript, Python, Objective-C"
jmalonzo,"Jakarta, Indonesia","CoffeeScript, Smarty, HTML, Vue, Ruby, TypeScript, NSIS, Shell, Makefile, CSS, JavaScript, PowerShell, Python, Erlang"
kozo2,"Tokyo, Japan","Java, HTML, Dockerfile, Kotlin, TypeScript, Jupyter Notebook, Shell, Assembly, C++, CSS, JavaScript, Python, C, R"
duncan,Europe,"Go, HTML, Dockerfile, Ruby, TypeScript, Liquid, Shell, CSS, JavaScript, Handlebars"
hellowahab,Karachi,"PLSQL, Java, PHP, HTML, SCSS, EJS, Groovy, Kotlin, TypeScript, ASP, Shell, C#, Batchfile, CSS, JavaScript"
pmq20,Tokyo,"CoffeeScript, Java, HTML, Less, Ruby, TypeScript, Jupyter Notebook, Shell, Makefile, C++, CSS, JavaScript, Python, CMake, C"
hackedunit,"Cochin, India","CoffeeScript, HTML, Perl, Puppet, Ruby, Shell, Makefile, C++, CSS, JavaScript, PowerShell, Python, C"
mountain,Earth,"Clojure, CoffeeScript, Java, TeX, Zig, HTML, Scala, Rust, Dockerfile, Haskell, XSLT, Shell, CSS, JavaScript, Python"
sunfmin,Hangzhou,"Java, Go, Emacs Lisp, Ruby, TypeScript, C, JavaScript, TSQL, CoffeeScript, HTML, Dockerfile, Assembly, C++, CSS, CMake, Thrift, Shell, Python, Objective-C, Makefile"
charlenopires,Amarante | PI | Brazil,"Dart, TeX, Emacs Lisp, HTML, Swift, Elixir, Kotlin, TypeScript, Ruby, Makefile, Shell, CSS, JavaScript, Python, Objective-C, Erlang"
linuxyz,"Beijing, China","Rust, Vim Script, Dockerfile, QMake, Shell, Makefile, C, PowerShell, Python"
yangjindong,"Huai'an, China","CoffeeScript, Gherkin, HTML, SCSS, Vue, Dockerfile, Ruby, TypeScript, Shell, CSS, JavaScript"
alvin2ye,China,"CoffeeScript, Go, Less, HTML, Ruby, TypeScript, Shell, Makefile, Nginx, CSS, JavaScript"
openweb,China,"Clojure, Java, Swift, Ruby, Protocol Buffer, TypeScript, C, JavaScript, ShaderLab, HTML, C++, CSS, CMake, Groff, Scala, Thrift, Less, Shell, Objective-C++, Python, Smarty, Objective-C, Groovy, Batchfile, C#, Makefile"
jicknan,"Suzhou, China","CoffeeScript, Lua, PHP, Vim Script, HTML, Swift, TypeScript, Shell, Makefile, CSS, C, JavaScript, Python"
renxing,Nantong,"Java, Go, SCSS, Vue, Swift, Starlark, Ruby, TypeScript, C, JavaScript, Rust, FreeMarker, ShaderLab, CoffeeScript, Dart, PHP, HTML, Dockerfile, C++, CSS, AIDL, CMake, Handlebars, EJS, Less, QMake, Shell, Objective-C++, Python, Smarty, Objective-C, Blade, GLSL, Groovy, Pug, Kotlin, Makefile, C#, HLSL"
linyiru,"Austin, Texas","SCSS, Vue, Svelte, Ruby, TypeScript, JavaScript, Haml, Rust, R, HTML, Astro, Dockerfile, CSS, Solidity, Procfile, Shell, Python, Batchfile, Crystal"
jie,,"CoffeeScript, Solidity, HTML, SCSS, Vue, MDX, Dockerfile, Less, PHP, TypeScript, Shell, ApacheConf, CSS, JavaScript, Python"
ShiningRay,"Shanghai, China","CoffeeScript, EJS, Less, Solidity, Go, HTML, Dockerfile, Procfile, SCSS, PLpgSQL, Ruby, TypeScript, Shell, CSS, C, JavaScript"
xnzac,UK,"CoffeeScript, Go, HTML, Vim Script, PHP, Awk, Dockerfile, Yacc, Ruby, Shell, Makefile, CSS, JavaScript, PowerShell, Python, C"
shaobin0604,Chengdu,"Java, HTML, IDL, Groovy, Kotlin, Shell, Makefile"
sunraysun,Shanghai,"Astro, Vim Script, Dockerfile, TypeScript, Shell, CSS, JavaScript"
arden,深圳龙华新区大浪街道福东龙华府,"Java, Go, HTML, Swift, Ruby, M, Shell, Makefile, CSS, C++, C, JavaScript, Objective-C"
whb,,"Java, SCSS, Vue, Swift, Ruby, TypeScript, JavaScript, Haml, Dart, CoffeeScript, PHP, HTML, Astro, Dockerfile, CSS, Procfile, Shell, MDX, Objective-C, Lua, Kotlin, Batchfile"
hygkui,,"PowerShell, HTML, Vim Script, Vue, Less, Dockerfile, MDX, TypeScript, Shell, Makefile, Nix, C++, CSS, JavaScript, Python, Rust"
pmq20,Tokyo,"CoffeeScript, Java, HTML, Less, Ruby, TypeScript, Jupyter Notebook, Shell, Makefile, C++, CSS, JavaScript, Python, CMake, C"
capken,Shanghai,"CoffeeScript, Java, HTML, Perl, Ruby, Shell, Nginx, CSS, JavaScript"
matrixer,,
vincentqiu,,"Java, Go, IDL, Swift, Ruby, Protocol Buffer, C, JavaScript, Prolog, HTML, Awk, AppleScript, C++, CSS, Shell, Objective-C++, Python, Objective-C, Groovy, Makefile"
azu,Tokyo/Japan,"CoffeeScript, HTML, Dockerfile, Ruby, TypeScript, Shell, CSS, C, JavaScript, PowerShell, Python, Objective-C"
hutuworm,,
gxbsst,"Shanghai, China","CoffeeScript, PHP, HTML, Vim Script, message, Ruby, Shell, block, CSS, JavaScript, Python"
yedj,,"JavaScript, HTML, CSS"
jimjin,wenzhou china,"TSQL, Java, PHP, HTML, QML, Dockerfile, Ruby, TypeScript, Batchfile, Shell, C#, Makefile, C++, CSS, JavaScript, Python, Objective-C"
peterwang,,"Clojure, Java, Emacs Lisp, Perl, Haskell, Protocol Buffer, Scheme, C, JavaScript, Common Lisp, CoffeeScript, MAXScript, HTML, Elm, C++, CSS, NewLisp, TeX, Scala, Shell, Python, Batchfile, Makefile"
appleboy,"Hsinchu, Taiwan","Jsonnet, HCL, Java, Go, HTML, Scala, Dockerfile, Ruby, TypeScript, Shell, Makefile, CSS, JavaScript, Python"
jexchan,chengdu,"CoffeeScript, HTML, Elixir, Ruby, TypeScript, Shell, CSS, JavaScript, Python"
simultsop,,"HTML, TypeScript, Vue"
ZoomQuiet,"ZhuHai,China,Earth","Go, Perl, Vue, SCSS, TypeScript, Scheme, JavaScript, ActionScript, CoffeeScript, PHP, HTML, Dockerfile, CSS, Erlang, TeX, Shell, Python, Graphviz (DOT), Elixir, Makefile"
xqliu,Singapore,"Java, Racket, Emacs Lisp, Vim Script, YASnippet, JavaScript, Common Lisp, HTML, Dockerfile, CSS, Roff, Mako, Scala, MATLAB, Jupyter Notebook, Shell, Smarty, Python, Groovy, Kotlin, M, Batchfile, Makefile"
passos,"Palo Alto, CA","FreeMarker, Java, Go, HTML, Less, Vue, SCSS, Dockerfile, Kotlin, Protocol Buffer, TypeScript, Shell, Makefile, CSS, JavaScript, Common Lisp, Python"
bygreencn,China,"DTrace, Lex, Java, Pawn, Perl, POV-Ray SDL, Arduino, C, JavaScript, Cuda, PLSQL, PHP, HTML, M4, Dockerfile, Awk, Perl 6, Assembly, C++, CSS, GAP, CMake, Roff, Groff, SourcePawn, MATLAB, PLpgSQL, Jupyter Notebook, Shell, XSLT, Python, Objective-C, Scilab, Visual Basic, Lua, Yacc, Eagle, SQLPL, Batchfile, Makefile, C#, Pascal"
jianingy,,"OpenEdge ABL, Rust, HTML, Lua, Perl, Go, Emacs Lisp, Haskell, Ruby, Batchfile, Shell, Makefile, CSS, C++, C, JavaScript, Python"
Axun,Canada,"HTML, Python, Go"
thiswind,,"Java, SCSS, Perl, Swift, Ruby, TypeScript, C, JavaScript, ActionScript, Rust, Dart, HTML, Dockerfile, C++, CSS, CMake, PLpgSQL, Jupyter Notebook, Shell, Jinja, Python, Objective-C, Kotlin, Makefile"
insub,,"Java, Go, SCSS, Swift, Vue, Ruby, TypeScript, OCaml, C, JavaScript, message, PHP, HTML, Dockerfile, C++, CSS, EJS, Shell, PowerShell, Python, Objective-C, Smalltalk, C#, block, Makefile"
diablozzc,,"Java, Go, Swift, Vue, Ruby, Protocol Buffer, JavaScript, PLSQL, HTML, Dockerfile, CSS, Scala, Less, Shell, PowerShell, Python, Objective-C, SQLPL, Batchfile, Makefile, ApacheConf"
lolocoo,,"Java, Go, HTML, Less, Vue, PHP, Dockerfile, SCSS, Perl, TypeScript, Batchfile, Shell, C#, CSS, JavaScript, Python, Objective-C"
caibaohua,Shanghai,"PHP, HTML, Less, Ruby, Shell, CSS, JavaScript, Objective-C, Erlang"
kgl,taiwan,"HTML, Dockerfile, TypeScript, Shell, CSS, JavaScript, Python"
jamesjieye,Suzhou China,"Java, Go, Emacs Lisp, SCSS, Perl, Limbo, F#, Starlark, Svelte, Puppet, Ruby, TypeScript, VBA, WebAssembly, C, JavaScript, ActionScript, ShaderLab, PLSQL, PHP, HTML, M4, Dockerfile, Awk, Assembly, Tcl, Raku, C++, CSS, CMake, Roff, Erlang, Processing, Less, ANTLR, QMake, Shell, XSLT, sed, Python, Smarty, SWIG, Lua, GLSL, Batchfile, Makefile, C#, Inno Setup, Pascal, PureBasic, GDB"
billychow,China,"Groff, Java, PHP, Less, Vim Script, Vue, Blade, Dockerfile, HTML, Swift, Ruby, Shell, CSS, JavaScript, Python, Objective-C"
caingougou,"Shanghai, China","PHP, TypeScript, Shell, Makefile, CSS, JavaScript, Erlang"
fundon,Space,"Zig, AMPL, Go, SCSS, Vue, Perl, Svelte, TypeScript, C, JavaScript, Rust, CoffeeScript, HTML, Dockerfile, C++, CSS, Handlebars, Roff, Shell, Python, Objective-C, NSIS, Makefile"
liuzhoou,"Wuhan, China","Java, Emacs Lisp, Perl, Vue, SCSS, Vim Script, Ruby, TypeScript, Scheme, C, JavaScript, Common Lisp, Haml, R, HTML, Awk, CSS, Roff, TeX, Shell, AutoHotkey, Python, Smarty, Objective-C, Makefile"
taballa,,"Graphviz (DOT), CoffeeScript, PHP, HTML, Perl, Vue, XML, Less, Ruby, TypeScript, Shell, CSS, JavaScript, Python, Visual Basic"
robbenmu,,"Mako, PHP, HTML, SCSS, Vim Script, Perl, Dockerfile, Lua, Ruby, TypeScript, Batchfile, Shell, Jinja, CSS, JavaScript, Python, Rust"
drnic,"Brisbane, Australia","OpenEdge ABL, Go, Emacs Lisp, SCSS, Perl, Ruby, C, JavaScript, HTML, Dockerfile, Assembly, C++, CSS, Roff, MATLAB, Procfile, Shell, PowerShell, Python, Objective-C, Lua, Batchfile, NSIS, Makefile"
zh,JAPAN,"Go, Perl, SCSS, Ruby, TypeScript, C, JavaScript, PHP, HTML, Dockerfile, Assembly, C++, CSS, Solidity, Shell, Python, Objective-C, Batchfile, Makefile"
auser,"Mountain View, CA","Java, SCSS, F#, Ruby, TypeScript, JavaScript, Rust, CoffeeScript, HTML, Dockerfile, AppleScript, CSS, Erlang, Procfile, Shell, PowerShell, Smarty, Python, Batchfile, C#"
purzelrakete,Berlin,"Emacs Lisp, Go, Vim Script, Perl, Ruby, Scheme, JavaScript, Common Lisp, Nix, R, HTML, Awk, Dockerfile, Brainfuck, Assembly, CSS, Roff, TeX, Scala, Jupyter Notebook, Shell, Python, Graphviz (DOT), Lua, Vim Snippet, Julia, Batchfile, Makefile"
banderson623,"Rocklin, CA","Java, Go, HTML, D, Swift, Yacc, PHP, Vue, Objective-C, Ruby, Shell, C++, CSS, JavaScript, Python, Rust, C"
chrislloyd,,"Clojure, Dockerfile, Ruby, TypeScript, Shell, C, JavaScript, Python, Objective-C"
piclez,"San Diego, CA","CoffeeScript, Java, Go, HTML, SCSS, Perl, Vim Script, PHP, Jupyter Notebook, Ruby, TypeScript, Shell, CSS, JavaScript, Python, C"
wunki,Netherlands,"D, PostScript, OCaml, CoffeeScript, PLSQL, BASIC, Awk, jq, PicoLisp, Scala, REXX, Standard ML, VHDL, PLpgSQL, XSLT, PowerShell, Objective-C, SWIG, Smalltalk, Groovy, Julia, Factor, Pascal, ChucK, Emacs Lisp, Go, Vim Script, Perl, Rust, Vala, Prolog, Dart, Forth, HTML, Nim, Ada, Dhall, Hy, Shell, Python, Fennel, Makefile, Fantom, Haskell, VBA, TypeScript, C, JavaScript, Common Lisp, R, PHP, Elm, PureScript, Tcl, Raku, Io, MATLAB, Lua, Kotlin, Elixir, Crystal, Clojure, Zig, Java, Racket, Swift, F#, Ruby, Scheme, LiveScript, Janet, Dockerfile, Haxe, Assembly, C++, Pike, Erlang, Visual Basic .NET, C#"
mountain,Earth,"Clojure, CoffeeScript, Java, TeX, Zig, HTML, Scala, Rust, Dockerfile, Haskell, XSLT, Shell, CSS, JavaScript, Python"
sunfmin,Hangzhou,"Java, Go, Emacs Lisp, Ruby, TypeScript, C, JavaScript, TSQL, CoffeeScript, HTML, Dockerfile, Assembly, C++, CSS, CMake, Thrift, Shell, Python, Objective-C, Makefile"
zmack,,"Clojure, CoffeeScript, SuperCollider, HTML, Rust, Swift, Vim Script, Scala, Ruby, Kotlin, Shell, CSS, C, JavaScript, ActionScript, Python, Objective-C, Erlang"
btbytes,"Carmel, IN","Java, D, Perl, Ruby, OCaml, C, JavaScript, R, PHP, HTML, CSS, Nim, ATS, TeX, Scala, Just, Shell, Python, Makefile, ApacheConf"
ludwig,,"Java, Go, Vim Script, Perl, Swift, Haskell, Ruby, C, JavaScript, Dockerfile, C++, CSS, Roff, Groff, Jupyter Notebook, Shell, Python, Fortran, Objective-C, Lua, Batchfile, Makefile"
andrew,"Bristol, UK","CoffeeScript, Racket, Go, HTML, Perl, Ruby, TypeScript, Shell, ApacheConf, CSS, JavaScript"
yaanno,"Budapest, Hungary","Go, HTML, Rust, SCSS, Vue, Dockerfile, Ruby, TypeScript, Shell, CSS, JavaScript, Python"
tel,"Boston, MA, USA","Clojure, Java, Emacs Lisp, Perl, Haskell, TypeScript, JavaScript, Rust, Nix, R, CoffeeScript, HTML, CSS, Scala, Jupyter Notebook, Shell, Python, Objective-C, Makefile"
Krishna,Metaverse,"Go, Perl, Swift, Haskell, Ruby, TypeScript, C, JavaScript, Common Lisp, R, PHP, HTML, C++, CSS, Rich Text Format, Procfile, Shell, Python, Objective-C, Visual Basic, Lua, GLSL, Makefile"
paulsmith,"Evanston, IL","Zig, Go, Perl, Swift, Vim Script, Protocol Buffer, C, JavaScript, Nix, HTML, Dockerfile, Assembly, C++, CSS, Nim, Jupyter Notebook, Shell, Python, Makefile"
berry,Netherlands,"PHP, HTML, SCSS, Dockerfile, Elm, Ruby, TypeScript, Shell, CSS, JavaScript, Python"
csshsh,"Berlin, Germany","NASL, Objective-C, TypeScript, Batchfile, Shell, Makefile, Assembly, C++, CSS, JavaScript, XSLT, Python, C, Roff"
cbx,Austria,"Clojure, Gherkin, HTML, SCSS, Dockerfile, Ruby, Elixir, Shell, Makefile, C++, CSS, JavaScript, Python, Objective-C, Handlebars"
techthumb,New York,"Java, Go, Perl, Swift, Ruby, TypeScript, JavaScript, CoffeeScript, PHP, HTML, Dockerfile, CSS, Roff, Scala, PLpgSQL, Jupyter Notebook, ASP, Shell, Objective-C++, Python, Objective-C, Makefile"
dangoldin,NJ,"HTML, SCSS, Swift, MDX, Dockerfile, Ruby, TypeScript, M, Shell, Makefile, CSS, JavaScript, Python, R"
na9da,"Melbourne, Australia","Clojure, Racket, Emacs Lisp, Perl, Vim Script, Haskell, Ruby, TypeScript, C, JavaScript, Rust, Nix, Meson, PHP, HTML, PureScript, CSS, Handlebars, Roff, EJS, Shell, Python, Lua, GLSL, Makefile"
pushkar,,"Lex, Java, Perl, Swift, Ruby, TypeScript, Gnuplot, C, JavaScript, Common Lisp, Cuda, PHP, HTML, Awk, C++, CSS, CMake, TeX, MATLAB, Jupyter Notebook, Shell, XSLT, Python, Batchfile, Makefile"
lgs,Milan - Italy,"Go, SCSS, Vue, Perl, Svelte, Ruby, TypeScript, C, JavaScript, CoffeeScript, HTML, Dockerfile, C++, CSS, Handlebars, HCL, Solidity, Shell, Jinja, MDX, Python, Yacc, Batchfile, Makefile"
eugene,"Copenhagen, Denmark","CoffeeScript, TeX, HTML, Perl, Julia, Jupyter Notebook, Ruby, Batchfile, Shell, Makefile, C++, CSS, JavaScript, Python"
foysavas,,"Arc, Racket, Java, Go, Perl, Swift, Ruby, TypeScript, JavaScript, Common Lisp, PHP, HTML, Dockerfile, C++, CSS, CMake, Shell, Python, Lua, Makefile"
seflless,"Boston, MA","Java, SCSS, TypeScript, C, JavaScript, ShaderLab, CoffeeScript, Forth, HTML, Brainfuck, Dockerfile, GAP, CSS, C++, Erlang, Less, Shell, Python, GLSL, Makefile, C#, HLSL"
christophsturm,vienna,"Java, Racket, SCSS, Svelte, Ruby, TypeScript, JavaScript, HTML, Dockerfile, AppleScript, C++, CSS, CMake, Shell, Python, Groovy, Kotlin, Batchfile, Inno Setup"
river,"Vancouver, BC","Java, Rust, Emacs Lisp, HTML, PHP, Groovy, GLSL, Dockerfile, Ruby, Shell, Makefile, CSS, JavaScript, PureBasic, Python, Objective-C, Roff"
danja,Mozzanella,"Java, PHP, HTML, Perl, MATLAB, Dockerfile, Faust, Batchfile, Shell, Makefile, AGS Script, CSS, JavaScript, C++, Python, CMake, C"
zemariamm,"Porto, Portugal","Java, Emacs Lisp, HTML, PHP, Perl, Go, Starlark, Ruby, Jupyter Notebook, Shell, JavaScript, Python, Objective-C"
mieg,"Amsterdam, The Netherlands","Processing, EJS, HTML, Less, Forth, Awk, Dockerfile, RenderScript, Objective-C, Shell, Makefile, Assembly, C++, CSS, JavaScript, Arduino, Python, C"
kevinchiu,"Seattle, WA","Java, Go, Perl, D, Swift, SCSS, Ruby, C, JavaScript, ActionScript, Rust, R, Dart, CoffeeScript, PHP, HTML, Perl 6, C++, CSS, Nim, Handlebars, Procfile, Shell, Python, Fortran, Objective-C, Julia, Elixir, C#, Crystal"
anjin,"Los Angeles, CA","Java, SCSS, Swift, Ruby, TypeScript, C, JavaScript, CoffeeScript, HTML, Ragel, DIGITAL Command Language, C++, CSS, Erlang, Shell, Python, Yacc, Batchfile, Makefile"
michael,"Linz, Austria","CoffeeScript, Go, HTML, Dockerfile, Procfile, Svelte, Ruby, Jupyter Notebook, Batchfile, Shell, Nginx, Makefile, CSS, JavaScript, Python"
chl,Austria,"JavaScript, Shell, Java"
mattkanwisher,"New york, NY","Go, Perl, Ruby, TypeScript, C, JavaScript, Mathematica, HTML, C++, CSS, CMake, Thrift, Jupyter Notebook, Shell, XSLT, Python, Objective-C, GLSL, M, Makefile"
adulau,Europe,"Lex, Arc, Emacs Lisp, Perl, Vim Script, SCSS, Vue, Ruby, XS, Scheme, C, JavaScript, HTML, Awk, Dockerfile, Assembly, Raku, C++, CSS, UnrealScript, CMake, Roff, TeX, Shell, sed, PowerShell, Python, Scilab, Lua, Yacc, Elixir, Makefile, Classic ASP, GDB"
snatchev,Philly,"Java, Go, Vim Script, Perl, Swift, Ruby, C, JavaScript, Dart, PHP, HTML, Dockerfile, C++, CSS, Shell, PowerShell, Python, Objective-C, Lua, Batchfile, Makefile"
adragomir,Bucharest,"Java, Go, KakouneScript, Vim Script, Perl, Ruby, C, JavaScript, CoffeeScript, PHP, HTML, C++, CSS, Scala, Shell, PowerShell, Python, Lua, Groovy, Batchfile, Makefile, GDB"
gohanlon,"Portland, OR","Emacs Lisp, Vim Script, Swift, Perl, SCSS, Starlark, Ruby, TypeScript, C, JavaScript, CoffeeScript, HTML, Dockerfile, CSS, CMake, TeX, Shell, Python, Lua, GLSL, Makefile"
astubbs,"Auckland, New Zealand","Java, Go, Emacs Lisp, Perl, Ruby, Nginx, C, JavaScript, FreeMarker, HTML, Tcl, C++, HCL, Scala, ASP, Shell, XSLT, Smarty, Python, Objective-C, Groovy, Kotlin, Batchfile, Makefile, C#"
thomasjo,"Tromsø, Norway","Java, Go, Perl, Swift, Starlark, Ruby, Protocol Buffer, C, JavaScript, Rust, Cuda, CoffeeScript, PHP, Dockerfile, C++, CSS, CMake, Less, MATLAB, Jupyter Notebook, ASP, Shell, Jinja, PowerShell, Python, Kotlin, Batchfile, Makefile, C#"
mattb,"San Francisco, CA","Java, Go, Ruby, TypeScript, C, JavaScript, PHP, HTML, Dockerfile, C++, CSS, Pure Data, Scala, Shell, Objective-C++, Python, Smarty, Objective-C, Lua, Eagle, Makefile"
corey,"Bay Area, CA","Clojure, Emacs Lisp, HTML, Vim Script, Ruby, Shell, CSS, JavaScript"
pete,"Los Angeles, CA","Racket, Go, Perl, Limbo, POV-Ray SDL, Vim Script, PostScript, Ruby, C, JavaScript, Common Lisp, Rust, Forth, HTML, Awk, Brainfuck, Dockerfile, M4, Assembly, C++, CSS, Erlang, Roff, MATLAB, Shell, Python, Lua, Yacc, M, Batchfile, Makefile, Cool"
tmc,Bay Area,"Java, Go, Vim Script, Ruby, TypeScript, C, JavaScript, HTML, Dockerfile, C++, CSS, ANTLR, Shell, Objective-C++, PowerShell, Smarty, Python, Objective-C, Elixir, Kotlin, Batchfile, Makefile"
kaichen,Crypto,"Java, Go, SCSS, Vue, Ruby, TypeScript, JavaScript, Rust, CoffeeScript, PHP, HTML, Dockerfile, CSS, Solidity, Shell, Python, Objective-C, Elixir, Kotlin, Makefile"
